firm,ndc_firm_id
"CARLSBAD TECHNOLOGY, INC.",61442
"LEAD CHEMICAL CO., LTD.",62168
Nidaria Technology Ltd.,65435
MEDICURE INTERNATIONAL INC.,25208
BLISTEX INC.,10157
"AKORN, INC.",50383
ID Biomedical Corporation of Quebec,19515
UNIMED PHARMACEUTICALS INC.,73669
"FABRE-KRAMER PHARMACEUTICALS, INC.",83504
"BioDelivery Sciences International, Inc.",59385
FRESENIUS KABI AUSTRIA GMBH,18124
"Orapharma, Inc.",65976
"SAGE PHARMACEUTICALS, INC.",83119
Biofrontera Pharmaceuticals GmbH,70621
"Elite Laboratories, Inc.",64850
"Sage Products, LLC",53462
GLAXOSMITHKLINE SA,00173
"SkinMedica, Inc.",67402
"Hill Dermaceuticals, Inc.",28105
THE MENTHOLATUM COMPANY,10742
"Solstice Neurosciences, LLC",10454
GENTEX CORPORATION,15014
Dabur India Limited,68747
"Arbonne International, LLC",42508
"NovaBay Pharmaceuticals, Inc.",81963
"Elusys Therapeutics, Inc.",69604
Murad Inc.,70381
Lacer,73159
INO Therapeutics LLC,64693
"NOVEN THERAPEUTICS, LLC",68968
"Neurotech Pharmaceuticals Co., Ltd.",82958
"Blairex Laboratories, Inc",50486
Astellas US LLC,00469
"Kowa Pharmaceuticals America, Inc.",66869
"TEVA WOMEN'S HEALTH, INC.",51285
"NSE PRODUCTS, INC.",62839
"Helsinn Therapeutics (U.S.), Inc.",69639
"Synthon Pharmaceuticals, Inc.",63672
"C. B. Fleet Company, Inc.",00132
"SHIONOGI PHARMA CO., LTD.",59630
"Vertical Pharmaceuticals, LLC",68025
CENTRIX INC.,60640
TOWER LABORATORIES LTD,50201
GLOBAL LIFE TECHNOLOGIES CORP.,82539
"Meridian Medical Technologies, Inc.",11704
"RxDino, LLC",81335
Linde GmbH,59578
TRUTEK CORP.,81907
Amarin Corporation Plc.,52937
"Tom's of Maine, Inc.",51009
"SOLAZYME, INC.",53407
"Chattem, Inc.",41167
"HUMCO HOLDING GROUP, INC.",00395
AstraZeneca Pharmaceuticals LP,00186
Laboratoires Clarins,58668
"Janssen Products, LP",59676
MSN LABORATORIES PRIVATE LIMITED,69539
Bode Chemie GmbH,65616
"Absorption Pharmaceuticals, LLC",55636
"Actavis, Inc.",00228
"LYNE LABORATORIES, INC.",00374
STALLERGENES S.A.,59617
"Amarin Pharma, Inc.",52937
HARMAN FINOCHEM LIMITED,82638
Savior Lifetec Corporation,44647
B. Braun Medical Inc.,00264
"Laboratorios Liomont, S.A. DE C.V.",59208
"Xlear, Inc.",27017
"Bioved Pharmaceuticals, Inc",68354
"Ranir, LLC",66923
"PARAGON BIOTECK, INC.",42702
INVENTIA HEALTHCARE LIMITED,49252
Kantian Skincare LLC,57524
"Catalyst Pharmaceuticals, Inc.",69616
"Kate Somerville Skincare, LLC",43479
"Restorsea, LLC",57670
"Wisconsin Pharmacal Company, LLC",68093
GUERLAIN,49817
"GM Pharmaceuticals, Inc.",58809
"ESSENCE, INC",72363
KEDRION S.P.A.,76179
PLX PHARMA INC.,73089
ENVIRON SKIN CARE (PTY) LTD,85784
"ZO SKIN HEALTH, INC.",42851
"UNITED LABORATORIES, INC.",63998
"Biopelle, Inc.",42485
"DENTAL ALLIANCE HOLDINGS, LLC",61578
Revlon Consumer Products Corporation,10967
NORDIC PHARMA,69918
"Albireo Pharma, Inc.",74528
"Sigmapharm Laboratories, LLC",42794
LUNDBECK PHARMACEUTICALS LLC,67386
The Methodist Hospital Research Institute,69864
"Mayinglong Pharmaceutical Group Co., Ltd.",68511
LERNAPHARM (LORIS) INC.,68356
NAVEH PHARMA (1996) LTD,85202
CIPHER PHARMACEUTICALS INC.,84635
MERCK PATENT GMBH,00006
"OTSUKA PHARMACEUTICAL CO., LTD.",59148
SRI International,50633
"UBE INDUSTRIES, LTD.",85954
Takeda Pharmaceutical Company Limited,00944
JANSSEN PHARMACEUTICA NV,50458
Indivior UK Limited,12496
GLAXOSMITHKLINE INTELLECTUAL PROPERTY DEVELOPMENT LIMITED,00173
"OPKO Health, Inc.",70301
UCB BIOPHARMA SRL,61476
Janssen Sciences Ireland UC,50458
Purdue Research Foundation,59011
"JIANGSU VCARE PHARMATECH CO., LTD.",77573
Albireo AB,74528
"MILLENNIUM PHARMACEUTICALS, INC.",62598
UNIVERSITY OF SOUTH FLORIDA,60215
LABORATORIES LETI S.L.,70188
"The Florida State University Research Foundation, Inc.",73060
"CHENGDU HUACHUANG BIOTECHNOLOGY CO., LTD",82432
Novo Nordisk A/S,00169
"Health Research, Inc.",84992
"SEATTLE GENETICS, INC.",72740
"The United States of America as Represented by the Secretary, Dept. of Health and Human Services",58733
GENMAB A/S,82705
BIOCON LIMITED,70377
Research Institute at Nationwide Children's Hospital,52654
"Beijing Stomatology Hospital, Capital Medical University",71073
Beijing SH Bio-Tech Corporation,71073
